TIME, VerticalSpeed, RadarAltitude, TargetVerticalSpeed, TargetThrottle, EngineResponse(kn), Latitude, Longitude, XError, YError, TargetXSpeed, CurrentXSpeed, TargetXPitch, TargetYSpeed, CurrentYSpeed, TargetYPitch, TotalTargetPitch, TotalTargetHeading
47724.9600507395, -0.421923175021746, 557.351135253906, -20, 0.01, 313.875579833984, 28.6083526611328, -80.5997543334961, -291.832585673511, -101.801995833714, 15, -0.0740000192396194, 15, 8.14415966669716, -0.345088597382671, 10.1870979168958, 18.0662722859905, 55.6533849768713
47725.0400507394, -0.766023093366329, 557.300109863281, -20, 0.01, 314.787658691406, 28.6083526611328, -80.5997543334961, -291.832585673511, -101.801995833714, 15, -0.0741999368746623, 15, 8.14415966669716, -0.346141345215218, 10.2030490638487, 18.0750641659227, 55.6120563859751
47725.1200507394, -1.10961379904623, 557.221618652344, -20, 0.01, 315.049377441406, 28.6083526611328, -80.5997619628906, -292.680935638756, -101.801995833714, 15, -0.0745717630616177, 15, 8.14415966669716, -0.347250408353708, 10.2115954324684, 18.0797786106286, 55.5899308139912
47725.2000507394, -1.36762499500037, 557.115783691406, -20, 0.01, 314.280548095703, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.0791606166074819, 15, 8.37321415734718, -0.348458421376674, 10.4956298990716, 18.2379930428212, 54.8615714336661
47725.2600507394, -1.71162774227361, 557.018310546875, -20, 0.01, 315.031341552734, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.0960232714230956, 15, 8.16112666600205, -0.349598094940274, 10.2499355905536, 18.1009616348173, 55.4908237519635
47725.3400507394, -2.05619871154312, 556.864074707031, -20, 0.01, 314.626129150391, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.13279212198278, 15, 8.16112666600205, -0.351349838562872, 10.2605890056371, 18.1068573491209, 55.4633291820685
47725.4200507394, -2.4020288744664, 556.682373046875, -20, 0.01, 314.709808349609, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.178058420823789, 15, 8.16112666600205, -0.35323191874873, 10.2706365129514, 18.1124215973428, 55.4374158293047
47725.5000507394, -2.66170091558057, 556.472900390625, -20, 0.01, 314.553894042969, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.227219528798102, 15, 8.16112666600205, -0.355171186336587, 10.2802055778527, 18.117724358268, 55.4127521870715
47725.5600507394, -3.00804195003509, 556.297485351563, -20, 0.01, 314.166473388672, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.265222795116685, 15, 8.16112666600205, -0.356642222001963, 10.287247331728, 18.1216287542296, 55.3946123474019
47725.6400507393, -3.35466058359194, 556.03955078125, -20, 0.01, 314.070861816406, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.316214189812664, 15, 8.16112666600205, -0.358610563975827, 10.2964773400297, 18.1267492303802, 55.3708480859326
47725.7200507393, -3.7011188656828, 555.753723144531, -20, 0.01, 314.725250244141, 28.6083507537842, -80.5997619628906, -292.680935638756, -102.014083325026, 15, -0.366916260498879, 15, 8.16112666600205, -0.36057656069928, 10.3056363093001, 18.1318334037227, 55.3472808632041
47725.8000507393, -3.96107128122829, 555.440246582031, -20, 0.01, 313.888580322266, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.416729825766389, 15, 8.39018115665209, -0.362532853082753, 10.5897786375971, 18.2910849756832, 54.6231179969999
47725.8600507393, -4.30783218133961, 555.186767578125, -20, 0.01, 315.082641601563, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.453278275272034, 15, 8.17809366530695, -0.363991468079804, 10.342063194153, 18.1520846672526, 55.2536890327552
47725.9400507393, -4.65368643484022, 554.82470703125, -20, 0.01, 313.726104736328, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.499901755345913, 15, 8.17809366530695, -0.366846799247208, 10.3591543777106, 18.1616032007749, 55.2098532231372
47726.0200507393, -4.99922212362203, 554.434631347656, -20, 0.01, 314.308685302734, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.54242181921779, 15, 8.17809366530695, -0.372028424690132, 10.3896596329822, 18.1786190070245, 55.131734342674
47726.1000507393, -5.25786651553095, 554.06982421875, -20, 0.01, 314.091827392578, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.580495063408631, 15, 8.17809366530695, -0.379667509088296, 10.4241036853656, 18.1978727837786, 55.0437160657134
47726.1600507393, -5.60279278218549, 553.498962402344, -20, 0.01, 313.965942382813, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.605280077337972, 15, 8.17809366530695, -0.387661323795248, 10.4614807300935, 18.218815004558, 54.9484272174016
47726.2400507392, -5.94725541921065, 553.34423828125, -20, 0.01, 314.428497314453, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.632585389927823, 15, 8.17809366530695, -0.401875921643123, 10.5120735599733, 18.2472428140457, 54.8198176390752
47726.3200507392, -6.29088972051859, 552.773498535156, -20, 0.01, 314.489654541016, 28.6083488464355, -80.5997619628906, -292.680935638756, -102.226170816337, 15, -0.652784820926607, 15, 8.17809366530695, -0.420543903855804, 10.5747544314241, 18.2825911764649, 54.6610713289551
47726.4000507392, -6.54885384652856, 552.167602539063, -20, 0.01, 314.084075927734, 28.6083469390869, -80.5997619628906, -292.680935638756, -102.438258307648, 15, -0.665669909302937, 15, 8.40714815595696, -0.443524235983349, 10.9166193810362, 18.477848348041, 53.8067241018633
47726.4600507392, -6.89276323058255, 551.596740722656, -20, 0.01, 314.906402587891, 28.6083469390869, -80.5997619628906, -292.680935638756, -102.438258307648, 15, -0.670816347347609, 15, 8.19506066461184, -0.463238178167476, 10.7157530322365, 18.3626212839351, 54.3063628934847
47726.5400507392, -7.23616210253071, 551.441955566406, -20, 0.01, 314.531860351563, 28.6083469390869, -80.5997619628906, -292.680935638756, -102.438258307648, 15, -0.669584441776233, 15, 8.19506066461184, -0.494658731446728, 10.7989241994467, 18.4101602785613, 54.0986741446858
47726.6200507392, -7.58005439752012, 550.716369628906, -20, 0.01, 314.690887451172, 28.6083469390869, -80.5997619628906, -292.680935638756, -102.438258307648, 15, -0.659490759032849, 15, 8.19506066461184, -0.531336395608531, 10.8893468457133, 18.4621204070385, 53.8741723731952
